index,error,correct form,edit distance
1996,contaiminated,contaminated,1
296,abse,abstract,5
1459,canditat,candidate,2
4075,holiday makers,holidaymakers,1
6115,posess,possesses,3
179,phillipienes,philippines,3
8430,unborne,unborn,1
5135,minory,minority,2
4776,lias,liaise,2
6459,queched,quenched,1
4978,manourvred,manoeuvred,2
4683,kold,cold,1
6950,salecte,selected,2
1985,consistant,consistent,1
2843,eisenhhower,eisenhower,1
394,activitys,activities,2
7889,synshronis,synchronise,2
2201,currers,careers,2
3057,eventhough,even though,1
1000,bank robbery,bank-robbery,1
7794,supposidly,supposedly,1
7768,sunsight,sunlight,1
3609,ful,full,1
665,any helping,some help,7
895,atleast,at least,1
4339,indefinate,indefinite,1
3405,fere,fare,1
2850,electrict,electric,1
3514,foreget,forget,1
3489,follo,follow,1
4598,jees,yes,2
514,air hostess,air-hostess,1
2290,definetely,definitely,1
6940,said me,say to me,4
5179,momment,moment,1
1053,beaty,beauty,1
2334,departemental,departmental,1
7864,swith,switch,1
5741,paerticulaur,particular,2
6671,regn,reign,1
8569,unusuoally,unusual,3
3926,happyly,happily,1
4062,hinderence,hindrance,2
7903,tackeling,tackling,1
2194,cupbroad,cupboard,2
5598,openned,opened,1
7039,scienfic,scientific,2
4218,imigrants,immigrants,1
1470,capabity,capability,2
7666,structru,structure,2
5535,od,order,3
7133,senc,sense,2
6547,readible,readable,1
8248,tobbaco,tobacco,2
1529,catle,castle,1
1134,belive,believes,2
7792,suppore,supported,2
1010,barchelor,bachelor,1
4751,leavs,leaves,1
8444,under norished,undernourished,2
7461,sorrounding,surroundings,2
228,svedish,swedish,1
4460,instintively,instinctively,1
5095,miake,make,1
687,apointments,appointments,1
5964,phenomeno,phenomenon,1
6949,sale assistant,sales-assistant,2
5593,ont,one,1
6367,prostitude,prostitute,1
5351,neigbour,neighbour,1
4199,imaginativ,imaginative,1
4611,jocking,jogging,2
1462,cannto,cannot,2
976,bad tempered,bad-tempered,1
2619,diss,disolved,5
4973,maniputaltatio,manipulation,4
3706,getto,ghetto,1
710,appitite,appetite,1
7421,solomn,solemn,1
5255,muisic,music,1
2055,coontry,country,1
3395,felxibilit,flexibility,3
4453,inspite,in spite,1
1827,comparision,comparison,1
8592,upto,up to,1
4587,itsef,itself,1
7100,seeen,seen,1
7423,sombody,somebody,1
1723,clossed,closed,1
1526,catastrophy,catastrophe,1
954,awaiti,awaiting,2
973,bactirias,bacteria,2
935,autorety's,authorities,4
416,adjacn,adjacent,2
7254,showin,showing,1
53,duschman,dutchman,1
6028,plannet,planet,1
5429,non strict,lax,10
459,aereoplane,aeroplane,1
8668,veist,waist,2
7430,some times,sometimes,1
2029,controvercy,controversy,1
1695,cleand,cleaned,1
4976,mannage,manage,1
8870,wheras,whereas,1
1309,brice,price,1
6211,prepearing,preparing,1
3666,garantye,guarantee,2
2978,enterpretor,interpreter,2
2523,dimand,demands,2
9006,wronge,wrong,1
5571,ommission,omissions,2
4449,insistance,insistence,1
3013,equinoxe,equinox,1
7784,suport,support,1
6074,poisining,poisoning,1
2267,declair,declare,2
8768,wat,wet,1
7822,surprices,surprises,1
8980,worsest,worst,2
6977,satsfactor,satisfactory,2
5445,notced,noticed,1
3091,evin,even,1
2689,dont,don't,1
4687,labell,label,1
3987,health ways,healthwise,4
3778,govenor,governor,1
3843,guarrantee,guarantee,1
6159,povety,poverty,1
3928,happyness,happiness,1
5752,paitients,patients,1
6910,rubish,rubbish,1
4006,hedache,headache,1
8193,to behave,behaving,6
8977,worring,worrying,1
3997,heartly,heartily,1
3764,goodbuy,goodbye,2
5730,owens,owns,1
7383,sliper,slipper,1
4233,immidiatly,immediately,2
6058,plodderly,ploddingly,3
8963,woning,warning,2
5224,mothercountry,mother country,1
7212,shieking,shrieking,1
8295,trables,troubles,2
1378,buscates,biscuits,4
1775,colosium,coliseum,2
6922,rymes,rhyme,2
5647,optium,optimum,1
4473,inteligent,intelligent,1
8223,to prevent,of preventing,5
7146,sensetive,sensitive,1
8384,tupes,types,1
8479,unessessay,unnecessary,4
6423,purpul,purple,2
1659,cilivized,civilized,2
1516,cassets,cassettes,2
5588,onest,honest,1
2379,desesperatly,desperately,3
8376,tuckshop,tuck shop,1
181,plastis,plastics,1
1725,cloude,cloud,1
7962,teeths,teeth,1
5596,opean,open,1
3786,governements,governments,1
6898,rooring,roaring,1
8039,the happening,this happened,5
3955,have making,made,9
4076,holliday,holiday,1
5936,persperation,perspiration,1
4399,ingenius,ingenious,1
6546,readed,read,2
2440,diagreed,disagreed,1
1243,boks,books,1
5446,noteics,notice,2
7280,significative,significant,4
2272,decresin,decreasing,2
8285,touris,tourists,2
4966,manegement,management,1
7238,shortend,shortened,1
6252,prisens,prisons,1
4276,in garantee,under guarantee,5
6987,savthm,southern,5
3398,femal,female,1
2873,embarassment,embarrassment,1
3834,grown up,grown-up,1
1980,consiously,consciously,1
5229,motor way,motorway,1
1397,busstop,bus stop,1
3187,exkjus me,excuse me,3
6882,robberys,robberies,2
5406,nise,nice,1
6254,prisioners,prisoners,1
6408,punnishing,punishing,1
5680,orther,other,1
4215,imidatly,immediately,4
934,autor,author,1
5374,netowrk,networks,3
8603,useully,usually,2
1422,cabines,cabins,1
4888,luckyly,luckily,1
4900,luxurios,luxurious,1
6747,replaci,replaceing,3
4515,interuptio,interruption,2
4917,mack up,make-up,3
4823,litle,little,1
8994,woulden't,wouldn't,1
3865,habour,harbour,1
8600,usefull,useful,1
8913,wievs,views,2
6024,plaine,plane,1
520,airoplane,aeroplane,1
2737,dring,drink,1
8731,waiteing,waiting,1
1275,bourd,bored,2
5703,ourshelves,ourselves,1
1826,compariosn,comparisons,3
4590,jalous,jealous,1
2042,converzel,conversely,2
4228,immencely,immensely,1
812,arrange ment,arrangements,2
6307,proffesion,profession,2
2033,contually,continually,2
8299,tradgy-comic,tragi-comic,2
1295,brasilesion,brazilian,4
2015,continouing,continuing,1
2746,drug dependent,drug-dependent,1
1669,cises,scissors,4
4945,mainer,minor,2
2060,cople,couple,1
7833,suspens,suspence,2
403,adabtable,adaptable,1
1600,cheaky,cheeky,1
6506,radio-cassete,radio-cassette,1
3490,folow,follow,1
5124,millons,millions,1
4384,infite,infinite,2
2612,dispise,despise,1
2733,drest,dressed,3
2470,dieases,diseases,1
1564,certianly,certainly,2
469,affeminate,effeminate,1
6440,qualty,quality,1
943,availabe,available,1
7365,skin heads,skinheads,1
5498,obselet,obsolete,2
8002,terrebly,terribly,1
4669,know one,no one,2
8997,wraine,reign,4
5210,more stricters,stricter,6
8134,thouth,thought,2
3443,fire place,fire-place,1
2255,decicions,decisions,1
1201,bird nest,birds' nests,3
2483,diffective,defective,2
3203,experances,experiences,2
3484,folclore,folklore,1
4881,lowes,loves,1
4638,kaleidescope,kaleidoscope,1
6276,probablly,probably,1
2774,eachother,each other,1
4479,intensions,intentions,1
139,luckly,luckily,1
550,allright,alright,1
3999,heartrendering,heartrending,2
6556,realiced,realised,1
1863,comppared,compared,1
6481,quiete,quite,1
1350,buissnes,business,3
859,assistent,assistant,1
7805,surcure,secure,2
4622,jubulation,jubilation,1
8799,weeckend,weekend,1
4756,lef,lesson,4
528,alcaholic,alcoholic,1
5534,octapus,octopus,1
2664,divils,devils,1
632,aniversary,anniversary,1
7832,suspecious,suspicious,1
1311,brieff,brief,1
2645,distinwished,distinguished,2
8757,was starting,started,7
34,cen,certainly,6
1473,caraful,careful,1
8590,upseted,upset,2
7061,screw driver,screwdriver,1
3566,frandely,friendly,3
4897,lunur,lunar,1
1778,comanded,commanded,1
300,absentive,absentees,3
754,aproaching,approaching,1
1125,beinfial,beneficial,4
864,assosiated,associated,1
685,aplogised,apologised,1
1911,conected,connected,1
6989,sayin,saying,1
5053,medival,medieval,1
5196,mooe,more,1
5539,of cource,of course,1
4561,iorn,iron,2
3646,gaie,gay,2
24,californa,california,1
8043,the sociaty trends,the trends of society,16
4822,literatur,literature,1
4051,highligths,highlights,2
6422,purpore,purple,2
5875,peotetoes,potatoes,2
8178,timeing,timing,1
2236,dayligt,daylight,1
7234,shopkeer,shopkeeper,2
6838,revealling,revealing,1
481,afte noon,afternoon,1
1888,concerne,concern,1
8180,tipical,typical,1
5299,nationaly,nationally,1
4656,kioche,kiosk,3
7676,sttrugle,struggle,2
850,assesment,assessment,1
919,auful,awful,1
6353,propect,prospect,1
6688,relavent,relevant,2
2710,dowe,drove,2
8812,well biult,well-built,3
3191,expairy,expiry,1
7484,souvineirs,souvenirs,2
3864,habby,hobby,1
4503,interpritation,interpretation,1
8493,unforunately,unfortunately,1
1533,caurt,court,1
209,scotman,scotchman,2
8507,unhuppy,unhappy,1
3272,facinated,fascinated,1
3362,faver,favour,2
7505,specimans,specimens,1
3153,excxept,except,1
5016,mastes,masters,1
6836,revange,revenge,1
4697,ladys,ladies,2
2052,cookings,cooking,1
2436,devorce,divorce,1
8030,thaughts,thoughts.,2
4255,impractia,impractical,2
5592,onn,own,1
5921,persentage,percentage,1
7196,shair,share,2
2166,criticizm,criticism,1
7115,self confident,self-confident,1
8858,whater,water,1
5764,paralells,parallels,2
2958,enjoyfull,joyful,3
3449,fisching,fishing,1
4337,indebtness,indebted,3
6500,racketters,racketeers,1
3614,fullfill,fulfil,2
2545,disagreance,disagreement,5
6251,prisen,prison,1
6486,quistion,question,1
2335,depature,departure,1
2130,cousine,cousin,1
8158,thrughout,throughout,1
3908,hapiness,happiness,1
2887,embelishing,embellishing,1
5799,partie,party,2
5117,million air,millionaire,2
167,norwegian,norwegians,1
4674,knowledde,knowledge,1
4747,leasure,leisure,1
6998,sccsfull,successful,4
1253,bord,bored,1
7536,spontaneos,spontaneously,3
1436,camed,came,1
1706,clein,client,3
901,atractes,attracts,2
8176,tim,time,1
2108,councellin,counselling,2
8449,undersand,understand,1
5550,offten,often,1
8756,was said,told,7
5894,perhapse,perhaps,1
3213,explaine,explain,1
4589,jagaur,jaguar,2
1331,brougth,brought,2
7733,sucsesfull,successful,3
982,bagon,bacon,1
552,allthat,all that,1
2062,copticle,coptic,2
7527,splended,splendid,1
4305,inconveniency,inconvenience,1
5582,one day,one-day,1
1920,confortable,comfortable,1
5391,niet,knit,2
2788,eazily,easily,1
1395,bussines,business,2
1957,consentrat,concentrated,3
5410,no smoke,no smoking,3
3702,gest,guests,2
5524,occured,occurred,1
1892,concider,consider,1
2120,cource,course,1
4640,kan,can,1
3370,favrit,favourite,3
818,arrid,arrived,2
4125,hte,the,2
7422,som,some,1
5401,ninghty,ninety,2
4994,many moneys,a lot of money,9
4362,individuu,individual,2
5360,nerveus,nervous,1
5115,miljeu,milieu,1
5682,other wise,otherwise,1
2879,embarrasing,embarrassing,1
688,apolgie,apologies,2
1956,consede,concede,1
3770,gorgious,gorgeous,1
1040,beame,beam,1
5779,parenthasis,parenthesis,1
4297,inconcievable,inconceivable,2
4379,infalib,infallible,3
7691,studiing,studying,1
6794,resmoserbl,responsible,5
1986,consits,consisted,3
5580,one's self,oneself,3
2614,dispol,disposal,2
4505,interprt,interpret,1
7267,sicologist,psychologist,3
4953,make ups,make-up,2
4043,hierachial,hierarchal,2
6435,qarraling,quarrelling,3
7897,systeme,system,1
4954,maked,made,2
913,attentin,attention,1
2322,demokrats,democrats,1
7492,spashel,special,4
31,capa,capitalism,6
1375,buryal,burial,1
4490,interfers,interferes,1
8073,therfor,therefore,2
6819,resqued,rescued,1
6654,reflectioning,reflecting,3
4086,home land,homeland,1
2048,conviniant,convenient,2
4562,irganized,organized,1
4548,invertd,inverted,1
8311,train station,railway-station,6
1450,can'nt,can't,1
3049,establism,establishments,5
5656,ordenary,ordinary,1
254,venize,venice,1
6138,possiply,possibly,1
946,avaliable,available,2
6419,purper,purple,2
3468,flaggerbasted,flabbergasted,3
4150,husbund,husband,1
6448,quarelled,quarreled,2
4246,importand,important,1
4247,importante,important,1
7989,tendancy,tendency,1
2999,envolved,involved,1
3894,handicaped,handicapped,1
5537,odn,done,3
2943,eney,any,2
2575,discrace,disgrace,1
290,aboundant,abundant,1
1290,brak,break,1
6414,purchage,purchase,1
696,appart,apart,1
6853,rhythmn,rhythm,1
1933,congrigation,congregation,1
3257,exuseme,excuse me,2
7135,sence,sense,1
7258,shud,shut,1
811,arrang,arrange,1
939,avaelable,available,1
4709,lang,land,1
7645,strech,stretch,1
7152,sepch,speak,4
4099,horriful,horrible,3
761,apselutely,absolutely,2
7528,splendide,splendid,1
6093,pollutations,pollutions,2
2284,deffinition,definition,1
8114,thorougly,thoroughly,1
6182,preceeding,preceding,1
3845,guees,guess,1
9034,your's,yours,1
6103,ponted,pointed,1
235,t shit,t-shirt,2
4734,lauth,laugh,1
8505,unhonourable,dishonourable,3
5077,meny,many,1
8618,vacination,vaccination,1
5636,oppurtunities,opportunities,1
7040,scient,science,2
8385,turbacolosis,tuberculosis,4
163,norwaygian,norwegian,2
4345,independant,independent,1
9024,yoman,yeoman,1
7610,stomac,stomach,1
6939,sagatious,sagacious,1
1159,bescuts,biscuits,2
1821,como,common,2
1983,consisits,consists,1
4441,inplications,implications,1
4824,litlle,little,1
2046,convienience,convenience,1
7730,sucessive,successive,1
7931,tea pot,teapot,1
3303,fall down,fell down,1
4038,hidrolic,hydrolic,1
4208,imediate,immediate,1
7565,standy,standing,3
3324,familier,familiar,1
8930,wisdome,wisdom,1
3458,fisk,fish,1
7167,sergant,sergeant,1
6605,recipt,receipt,1
1389,businesss,business,1
1442,campaignes,campaigns,1
6570,rebutal,rebuttal,1
2611,dispell,dispel,1
6972,sathon,southern,4
453,advicers,advisers,1
5505,obvisicly,obviously,3
5658,ordinaire,ordinary,2
6222,presumptous,presumptuous,1
6340,promonotory,promontory,1
4376,infact,infected,3
504,agricalture,agriculture,1
5294,narno,narrow,2
14,autum,autumn,1
6891,romane,roman,1
6256,prisoners camps,prison camps,3
4769,lettur,letter,1
7325,sincerily,sincerely,1
4708,landguage,language,1
8924,will have gone,would go,9
3453,fishingboats,fishing boats,1
5293,narcotica,narcotics,1
3661,garantie,guarantee,2
7665,strucked,struck,2
8220,to meet,of meeting,5
1237,boared,bored,1
1675,citty,city,1
1073,becourse,because,2
327,accidet,accident,1
3122,excause me,excuse me,1
6231,prevaded,pervaded,2
6917,runing,running,1
785,are coming,come,7
8119,thoughout,throughout,1
3930,hard working,hard-working,1
3309,falses,forces,3
8427,unavailble,unavailable,1
4809,lisence,license,2
6759,representives,representatives,2
3623,fundation,foundation,1
1429,calour,colour,1
656,antartic,antarctic,1
8011,terryfying,terrifying,1
4678,knowlege,knowledge,1
2007,contened,contented,1
1714,climatoligists,climatologists,1
2931,endeed,indeed,1
3284,faintfully,faithfully,2
7320,sincearly,sincerely,2
4135,humly,humbly,1
1738,coald,cold,1
8678,very fine,very well,4
1222,blaks,blacks,1
1289,bradcastin,broadcasting,2
4932,magnicisant,magnificent,3
2126,couse,because,3
887,atendance,attendance,1
7145,senseably,sensibly,2
1523,catakoguin,cataloguing,2
2586,disencourage,discourage,2
2257,decif,deciphered,6
3534,formost,foremost,1
2020,continured,continued,1
1008,barcelor,bachelor,2
3989,healty,healthy,1
1935,coniten,content,2
8735,waitting,waiting,1
794,arery,arteries,4
1482,carelesly,carelessly,1
2395,desparate,desperate,1
8302,traffic lights,traffic-lights,1
2623,dissapeard,disappeared,3
2232,dauther,daughter,2
8539,unpolitely,impolitely,2
6325,programms,programmes,1
1399,bustrip,bus trip,1
2855,eleiminatio,elimination,2
7678,stu,structurilisation,14
7957,tecniques,techniques,1
2216,dammage,damages,2
546,allowds,allows,1
6290,proceding,proceeding,1
5004,marons,maroons,1
4717,las,last,1
7081,seargen,sergeant,3
6743,repeparan,refreshment,7
1428,calors,colours,2
7710,substince,subsistence,3
4749,leav,leave,1
6097,poluted,polluted,1
4100,horrow,horror,1
2772,dysentry,dysentery,1
8231,to seat,to sit,2
7074,sea side,seaside,1
3645,fysically,physically,2
6771,requres,requires,1
949,aviabl,available,3
8599,usedf,used,1
4848,logarih,logarithm,2
5782,parhaps,perhaps,1
6604,reciprocel,reciprocal,1
5388,next door,nextdoor,1
5595,oparates,operate,2
8819,well known,well-known,1
2172,critisism,criticisms,2
1761,collaberating,collaborating,1
3048,establise,established,2
3389,feind,find,1
79,frensh,french,1
1916,conferance,conference,1
2550,disapointmen,disappointment,2
1710,cleva,clever,2
3051,estimed,esteemed,2
8742,wantings,wants,3
5966,phenonenon,phenomenon,1
7082,seariously,seriously,1
7137,sencibility,sensibility,1
3935,harmonous,harmonious,1
8374,tuck shop,tuck-shop,1
7495,speack,speak,1
3630,furcher,future,4
2720,drasticly,drastically,2
7737,suddely,suddenly,1
4421,innecessary,unnecessary,1
3054,etheral,ethereal,1
1808,committe,committee,1
2967,enomosly,enormously,2
7836,suspition,suspicion,1
8854,what soever,whatsoever,1
3407,few food,little food,6
3072,every one's,everyone's,1
8566,untl,until,1
4229,immensly,immensely,1
1967,consercutively,consecutively,1
4069,hobbie,hobby,2
1937,connectivie,connectives,2
7250,show ground,show-ground,1
752,aproach,approach,1
1382,busdrivers,bus drivers,1
5010,marvells,marvels,1
3822,gred,greedy,2
6628,recqur,recquired,3
2224,darlin,darling,1
8241,to use,using,6
7856,swiming,swimming,1
1411,byc,bicycle,4
2407,destinct,distinct,1
7429,some times,some time,1
1437,cameleon,chameleon,1
1758,coings,coins,1
8373,tuagh,taught,3
4558,invits,invites,1
1787,comftable,comfortable,2
8198,to compare,of comparing,5
106,i've been,i went,6
2707,doutb,doubt,2
2548,disapoint,disappoint,1
937,auxillary,auxiliary,1
1801,commisioner,commissioner,1
2628,dissapointing,disappointing,2
5842,peany,penny,1
2045,convicks,convicts,1
3131,excersing,exercising,3
7138,sencible,sensible,1
5483,nust,must,1
279,able bodied,able-bodied,1
183,polve,pole,1
8313,traints,traits,1
234,swizzerland,switzerland,1
1580,champaings,champagne,3
1997,containg,containing,2
526,alarm clock,alarm-clock,1
5723,overge,revenge,3
5180,monapaloy,monopoly,3
5381,neverthless,nevertheless,1
8229,to repair,for repairing,5
3232,exquiset,exquisite,2
1097,beffor,before,2
2762,dulture,culture,1
4804,linolium,linoleum,1
2526,diminsh,diminish,1
7785,suports,supports,1
3399,femile,female,1
8898,whould,would,1
2986,entierly,entirely,2
4766,letely,lately,1
8100,thinkin,thinking,1
8833,wepons,weapons,1
3170,exessively,excessively,1
3780,govermenta,governmental,2
4631,juridictio,jurisdiction,2
1367,buriel,burial,1
6351,propably,properly,2
2757,du,do,1
8805,weekened,weekend,1
881,at the skilness,to this skill,8
3311,falsh,false,1
8593,upwill,uphill,1
6788,reservoire,reservoir,1
5798,particulaur,particular,1
8412,uglyness,ugliness,1
1781,comden,condemn,2
4901,luxuriouses,luxurious,2
977,baden,pardon,3
3913,happends,happens,1
7148,senture,centre,2
7019,school days,schooldays,1
3787,governemts,governments,2
2672,docters,doctors,1
6542,reacieved,received,3
5976,photocamera's,cameras,6
4843,loadstone,lodestone,2
107,i've realized,i realise,5
2002,contasined,contained,1
2742,droped,dropped,1
4499,interpart,interpretation,7
7776,supertious,superstitious,3
9014,yeard,yard,1
602,amusments,amusements,1
1876,comunities,communities,1
1506,cary,carry,1
6962,sanatary,sanitary,1
6005,pinturesque,picturesque,1
6077,poited,pointed,1
692,aposit,opposite,3
3102,exageration,exaggeration,1
55,dutschman,dutchman,1
1958,consentrate,concentrate,1
3032,escuse,excuse,1
7190,severly,severely,1
2691,door step,door-step,1
884,atash,attache,3
1807,committ,commit,1
7335,singulaur,singular,1
1149,beni,beneficial,6
4171,igntion,ignition,1
4267,improvment,improvement,1
1079,becuse,because,1
3183,existant,existent,1
2996,envitation,invitation,1
826,artifical,artificial,1
7668,structur,structures,2
825,articals,articles,2
1064,becase,because,1
7900,table clothes,tablecloths,2
7559,stadions,stadiums,2
7687,studens,students,1
6269,privite,private,1
6527,rapings,rapes,3
8329,travells,travels,1
4612,joing,join,1
7101,seel,seal,1
7667,structu,structure,2
6777,resarc,research,2
3639,futhe,further,2
7217,shirvered,shivered,1
2544,disagreable,disagreeable,1
3052,estroundinarilly,extraordinary,7
3118,excaggerated,exaggerated,1
5024,matriiix,matrix,2
189,reasearch,research,1
8922,will be,is,6
1680,civilations,civilizations,2
6822,restauranteur,restaurateur,1
2554,disappreaving,disapproving,2
2740,drizzyling,drizzling,1
3006,epidemi,epidemic,1
1478,carefull,careful,1
2584,discusse,discuss,1
7812,surmer,summer,1
7643,streangth,strength,1
5747,paintaking,painstaking,1
6915,runed,ran,3
5222,mostley,mostly,1
2644,distibutio,distribution,2
626,angell,angel,1
2112,countrie's,country's,2
5742,pai,pay,1
3073,every people,everybody,6
2556,disaprove,disapprove,1
7773,supersticious,superstitious,1
5392,niether,neither,2
7228,shop assistant,shop-assistant,1
8998,writen,written,1
1106,beging,beginning,3
1736,clumzy,clumsy,1
1298,breacking,breaking,1
4366,induvidual,individual,1
35,chrismas,christmas,1
5326,necessarely,necessarily,1
5997,pieceful,peaceful,2
2051,conviniently,conveniently,1
7426,some thing,something,1
653,answed,answer,1
1457,candidats,candidates,1
5087,meterological,meteorological,1
827,artificiell,artificial,2
3653,galleroy,gallery,1
6393,psysically,physically,1
3971,headdacke,headache,2
1402,butchellor,bachelor,3
3758,good looking,good-looking,1
4372,inestability,instability,1
1938,connecto,connection,2
5771,parcels paper,paper parcels,8
7464,sory,sorry,1
633,anlaysi,analysis,3
4440,inosence,innocence,2
5480,nurves,nerves,1
1322,brodern,broaden,2
6177,prcessin,processing,2
7173,seriousless one,not serious ones,9
6258,prisonners,prisoners,1
5203,moraly,morally,1
4471,intelectuals,intellectuals,1
6849,rhuematism,rheumatism,2
7186,setuation,situation,1
1119,behavious,behaviour,1
4989,manupulating,manipulating,1
974,bad mannered,bad-mannered,1
619,anaylsis,analysis,2
6337,promisse,promise,1
3649,galeey,gallery,2
2422,developement,development,1
6919,rurler,ruler,1
2769,duy,day,1
2340,dependancy,dependency,1
6925,rythms,rhythms,1
992,ballott,ballot,1
7923,tasit,tacit,1
8019,thander,thunder,1
1634,choise,choose,1
5884,percenger,passenger,3
1307,bretheren,brethren,1
4880,lovly,lovely,1
4814,listen to,listening to,3
4494,interisting,interesting,1
3436,finincial,financial,1
7515,spended,spent,3
8612,utilisising,utilizing,3
4648,khole,whole,1
8029,thaugh,thought,2
3269,facilitys,facilities,2
4328,increasi,increase,1
3156,executted,executed,1
4504,interprited,interpreted,1
2169,critisise,criticise,1
132,jappan,japan,1
8706,volantary,voluntary,1
7378,slih,silhouettes,9
1439,campagn,campaign,1
4414,inlargement,enlargement,1
1016,barried,buried,2
3195,expecially,expecially,0
8088,thiews,thieves,2
7577,statu,statue,1
4151,hy,hundred,6
1679,civilation,civilization,2
166,norwegen,norwegian,2
8714,voor,for,2
5784,parlamentarism,parliamentarism,1
1946,conquring,conquering,1
8525,unluck,unlucky,1
2344,deppreciation,depreciation,1
2949,enimes,enemies,2
8360,trousher,trousers,2
4980,mantain,maintain,1
6979,sattle,settled,2
4869,losseing,losing,2
478,afriad,afraid,2
4794,lightend,lit,5
8316,tranpotation,transportation,2
6181,precausion,precautions,2
8813,well built,well-built,1
8953,woist,worst,1
1225,blanquetts,blankets,3
3160,exellent,excellent,1
5002,mariing,marrying,2
6322,proglam,programme,3
3601,frugel,frugal,1
2439,diagrammaticaally,diagrammatically,1
8148,through out,throughout,1
4967,maner,manner,1
5235,mouning,moaning,1
5231,motorcycls,motorcycles,1
284,aboo,about,2
4829,littel,little,2
8772,water borne,water-borne,1
2303,delicous,delicious,1
4775,lewel,level,1
8783,watter,water,1
3620,functuions,functions,1
264,a lone,alone,1
29,canadean,canadian,1
618,analsis,analysis,1
62,enlish,english,1
1737,cntra,central,2
1688,clase,class,1
1557,certaince,certainty,2
5981,phsycologically,psychologically,2
3589,frience,friends,2
2006,contempted,contented,2
581,americanicized,americanized,2
6694,reletivs,relatives,2
3290,faitfully,faithfully,1
229,swedesh,swedish,1
202,scoth,scot,1
8023,thankyou,thank you,1
468,affacted,affected,1
7813,surmountin,surmounted,2
8942,withought,without,2
804,arn't,aren't,1
6907,rsemblin,resembling,2
8571,unwelcomed,unwelcome,1
6562,reas,researches,6
7925,taudle,daudle,1
8365,truley,truly,1
1579,chambre,chamber,2
945,availiable,available,1
355,achei,achievement,7
3358,faught,fought,1
7065,sculture,sculptures,2
3637,furture,future,1
2650,distruction,destruction,1
1044,beark,break,2
8093,thiner,thinner,1
6188,predidice,prejudice,2
5288,naging,nagging,1
8545,unsatifatory,unsatisfactory,2
2301,deliberatl,deliberately,2
5126,minature,miniature,1
6944,saizer,scissors,5
660,anually,annually,1
8696,visite,visit,1
8550,unsf,unsafe,2
810,arrainged,arranged,1
4602,jeprodise,jeopardize,4
6346,proofes,proofs,1
192,roma,rome,1
1700,clearical,clerical,1
6117,posession,possession,1
3031,errounous,erroneous,2
4649,kille,kill,1
3026,erlyer,earlier,2
5367,nesse,necessary,5
1475,carear,career,1
8247,toat,tooth,2
3802,grand father,grandfather's,3
4103,horse racings,horse-racing,2
2900,emmitted,emitted,1
4163,idealy,ideally,1
3938,has'nt,hasn't,2
4095,horified,horrified,1
6086,politition,politician,2
3318,fameous,famous,1
5769,paraphenalia,paraphernalia,1
8753,was happen,had happened,4
8272,tortises,tortoises,1
7743,sueing,suing,1
5675,orkestra,orchestra,2
6776,resar,research,3
3871,hadent,hadn't,2
2935,endochrine,endocrine,1
1297,breackfast,breakfast,1
1547,censorsored,censored,3
5736,oxi,oxygen,4
7044,sciet,society,2
3510,forbitten,forbidden,2
6813,responsibilitys,responsibilities,2
3732,glitering,glittering,1
7722,succesfully,successfully,1
7103,seemes,seems,1
2898,emmidiatly,immediately,3
5739,pacience,patience,1
7849,swedich,swedish,1
5098,mid ages,middle-aged,5
3827,grewing,growing,1
4545,invalueable,invaluable,1
3438,finised,finished,1
7259,shure,sure,1
6404,punishements,punishments,1
345,accuratley,accurately,2
4168,idividualistic,individualistic,1
1514,cassete-recorder,cassette-recorder,1
1709,clerly,clearly,1
7677,stu,structure,6
2449,diciplin,discipline,2
5953,petroil,petrol,1
1590,charcing,charging,1
6033,plasing,pleasing,1
2237,dead end,dead-end,1
1866,compromize,compromise,1
7539,sport car,sports car,1
1753,coffee house,coffee-house,1
6144,postpoining,postponing,1
8606,usuea,usual,2
4956,making damage to,damaging,11
5099,mid night,midnight,1
7892,synthoms,symptoms,3
6655,refleted,reflected,1
5928,personalert,personality,3
4730,laughted,laughed,1
2633,dissappears,disappears,1
5040,mecanic,mechanic,1
3194,expecial,especially,3
6903,rouint,routine,2
733,appriciated,appreciated,1
2092,couble,couple,1
7736,sud,sad,1
1657,ciger,cigar,1
3142,excitment,excitement,1
7279,signfiture,signature,2
4872,lottry,lottery,1
5985,physican,physician,1
5554,oftem,often,1
4906,ly,living,5
8112,thorght,thought,1
3546,fortunatly,fortunately,1
8923,will have,would be,6
8206,to get,together,4
637,annonced,announced,1
8615,vaccins,vaccines,1
2150,creap,creep,1
690,apoligised,apologised,1
8130,thouse,those,1
6316,profitting,profiting,1
5523,occure,occur,1
3088,evey thing,everything,2
4405,inicial,initials,2
7028,schoolstudents,school students,1
7060,screems,screams,1
1616,child hood,childhood,1
4423,innefficien,inefficient,2
1500,cartaines,curtains,2
5503,obviosly,obviously,1
7721,succesfull,successful,2
302,absolutly,absolutely,1
3821,greatnes,greatness,1
6627,recquired,required,1
1690,class mate,classmate,1
1621,chillie,chilli,1
2396,desparately,desperately,1
8875,whia,what,2
5354,neighbourgs,neighbours,1
301,absolity,absolutely,3
1720,clodes,clouds,2
3507,forbided,forbade,2
1548,centery,century,1
7523,spical,special,2
7051,scool,school,1
3978,headegge,headache,3
1191,bilt,built,1
2069,corpol,corporal,2
8344,tride,tired,3
8194,to belong,of belonging,5
1067,becaused,because,1
1301,break down,breakdown,1
